obs_id,param,value
0,x0,40.0
0,y0,9.0
0,vx,0.0
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,8.1,1.9000000000000001
0,3,0.7000000000000001,8.1,2.3800000000000003
0,6,1.3,8.1,2.8600000000000003
0,9,1.9000000000000001,8.1,3.34
0,12,2.5,8.1,3.8200000000000003
0,15,3.1,8.1,4.3
0,18,3.7,8.1,4.78
0,21,4.3,8.1,5.260000000000001
0,24,4.9,8.1,5.740000000000001
0,27,5.5,8.1,6.220000000000001
0,30,6.1000000000000005,8.1,6.7
0,33,6.7,8.1,7.1800000000000015
0,36,7.300000000000001,8.1,7.66
0,39,7.9,8.1,8.14
