obs_id,param,value
0,x0,30.5
0,y0,20.0
0,vx,0.7
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,6.2,4.1000000000000005
0,3,0.7000000000000001,6.620000000000001,4.1000000000000005
0,6,1.3,7.040000000000001,4.1000000000000005
0,9,1.9000000000000001,7.46,4.1000000000000005
0,12,2.5,7.88,4.1000000000000005
0,15,3.1,8.3,4.1000000000000005
0,18,3.7,8.72,4.1000000000000005
0,21,4.3,9.14,4.1000000000000005
0,24,4.9,9.56,4.1000000000000005
0,27,5.5,9.98,4.1000000000000005
0,30,6.1000000000000005,10.4,4.1000000000000005
0,33,6.7,10.82,4.1000000000000005
0,36,7.300000000000001,11.240000000000002,4.1000000000000005
0,39,7.9,11.66,4.1000000000000005
