obs_id,param,value
0,x0,48.0
0,y0,20.0
0,vx,0.7
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,9.700000000000001,4.1000000000000005
0,3,0.7000000000000001,10.120000000000001,4.1000000000000005
0,6,1.3,10.540000000000001,4.1000000000000005
0,9,1.9000000000000001,10.96,4.1000000000000005
0,12,2.5,11.38,4.1000000000000005
0,15,3.1,11.8,4.1000000000000005
0,18,3.7,12.22,4.1000000000000005
0,21,4.3,12.64,4.1000000000000005
0,24,4.9,13.06,4.1000000000000005
0,27,5.5,13.480000000000002,4.1000000000000005
0,30,6.1000000000000005,13.9,4.1000000000000005
0,33,6.7,14.32,4.1000000000000005
0,36,7.300000000000001,14.740000000000002,4.1000000000000005
0,39,7.9,15.16,4.1000000000000005
