t_step,time_s,x_m,y_m
0,0.1,1.1,5.1000000000000005
1,0.30000000000000004,1.3,5.1000000000000005
2,0.5,1.5,5.1000000000000005
3,0.7000000000000001,1.7000000000000002,5.1000000000000005
4,0.9,1.9000000000000001,5.1000000000000005
1,0.30000000000000004,2.1,5.1000000000000005
2,0.5,2.3000000000000003,5.1000000000000005
3,0.7000000000000001,2.5,5.1000000000000005
4,0.9,2.7,5.1000000000000005
1,0.30000000000000004,2.9000000000000004,5.1000000000000005
2,0.5,3.1,5.1000000000000005
3,0.7000000000000001,3.3000000000000003,5.1000000000000005
4,0.9,3.5,5.1000000000000005
1,0.30000000000000004,3.7,5.1000000000000005
2,0.5,3.9000000000000004,5.1000000000000005
3,0.7000000000000001,4.1000000000000005,5.1000000000000005
4,0.9,4.3,5.1000000000000005
1,0.30000000000000004,4.5,5.1000000000000005
2,0.5,4.7,5.1000000000000005
3,0.7000000000000001,4.9,5.1000000000000005
4,0.9,5.1000000000000005,5.1000000000000005
1,0.30000000000000004,5.300000000000001,5.1000000000000005
2,0.5,5.5,5.1000000000000005
3,0.7000000000000001,5.7,5.1000000000000005
4,0.9,5.9,5.1000000000000005
1,0.30000000000000004,6.1000000000000005,5.1000000000000005
2,0.5,6.300000000000001,5.1000000000000005
3,0.7000000000000001,6.5,5.1000000000000005
4,0.9,6.7,5.1000000000000005
1,0.30000000000000004,6.9,5.1000000000000005
2,0.5,7.1000000000000005,5.1000000000000005
3,0.7000000000000001,7.300000000000001,5.1000000000000005
4,0.9,7.5,5.1000000000000005
1,0.30000000000000004,7.7,5.1000000000000005
2,0.5,7.9,5.1000000000000005
3,0.7000000000000001,8.1,5.1000000000000005
4,0.9,8.3,5.1000000000000005
1,0.30000000000000004,8.5,5.1000000000000005
2,0.5,8.700000000000001,5.1000000000000005
3,0.7000000000000001,8.9,5.1000000000000005
4,0.9,9.1,5.1000000000000005
