obs_id,param,value
0,x0,47.0
0,y0,25.0
0,vx,-0.9
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,9.5,5.1000000000000005
0,3,0.7000000000000001,8.959999999999999,5.1000000000000005
0,6,1.3,8.42,5.1000000000000005
0,9,1.9000000000000001,7.88,5.1000000000000005
0,12,2.5,7.340000000000001,5.1000000000000005
0,15,3.1,6.800000000000001,5.1000000000000005
0,18,3.7,6.260000000000001,5.1000000000000005
0,21,4.3,5.72,5.1000000000000005
0,24,4.9,5.18,5.1000000000000005
0,27,5.5,4.64,5.1000000000000005
0,30,6.1000000000000005,4.1000000000000005,5.1000000000000005
0,33,6.7,3.5600000000000005,5.1000000000000005
0,36,7.300000000000001,3.0200000000000005,5.1000000000000005
0,39,7.9,2.48,5.1000000000000005
