obs_id,param,value
0,x0,35.0
0,y0,55.5
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,-5.5
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,11.200000000000001
0,3,0.7000000000000001,7.1000000000000005,11.620000000000001
0,6,1.3,7.1000000000000005,12.040000000000001
0,9,1.9000000000000001,7.1000000000000005,12.46
0,12,2.5,7.1000000000000005,12.880000000000003
0,15,3.1,7.1000000000000005,13.3
0,18,3.7,7.1000000000000005,13.719999999999999
0,21,4.3,7.1000000000000005,14.14
0,24,4.9,7.1000000000000005,14.56
0,27,5.5,7.1000000000000005,14.980000000000002
0,30,6.1000000000000005,7.1000000000000005,15.4
0,33,6.7,7.1000000000000005,15.82
0,36,7.300000000000001,7.1000000000000005,16.240000000000002
0,39,7.9,7.1000000000000005,16.66
1,0,0.1,9.1,-1.0
1,3,0.7000000000000001,9.1,-1.42
1,6,1.3,9.1,-1.8399999999999999
1,9,1.9000000000000001,9.1,-2.2600000000000002
1,12,2.5,9.1,-2.6799999999999997
1,15,3.1,9.1,-3.1
1,18,3.7,9.1,-3.5200000000000005
1,21,4.3,9.1,-3.94
1,24,4.9,9.1,-4.359999999999999
1,27,5.5,9.1,-4.78
1,30,6.1000000000000005,9.1,-5.2
1,33,6.7,9.1,-5.62
1,36,7.300000000000001,9.1,-6.04
1,39,7.9,9.1,-6.46
