z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,12.3,5.1000000000000005,0
1,0.30000000000000004,12.5,5.1000000000000005,0
2,0.5,12.700000000000001,5.1000000000000005,0
3,0.7000000000000001,12.9,5.1000000000000005,0
4,0.9,13.100000000000001,5.1000000000000005,0
5,1.1,13.3,5.1000000000000005,0
6,1.3,13.5,5.1000000000000005,0
7,1.5,13.700000000000001,5.1000000000000005,0
8,1.7000000000000002,13.9,5.1000000000000005,0
9,1.9000000000000001,14.100000000000001,5.1000000000000005,0
10,2.1,14.3,5.1000000000000005,0
11,2.3000000000000003,14.5,5.1000000000000005,0
12,2.5,14.700000000000001,5.1000000000000005,0
