obs_id,param,value
0,x0,35.0
0,y0,20.5
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,29.5
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,4.2
0,3,0.7000000000000001,7.1000000000000005,4.62
0,6,1.3,7.1000000000000005,5.04
0,9,1.9000000000000001,7.1000000000000005,5.460000000000001
0,12,2.5,7.1000000000000005,5.88
0,15,3.1,7.1000000000000005,6.300000000000001
0,18,3.7,7.1000000000000005,6.720000000000001
0,21,4.3,7.1000000000000005,7.140000000000001
0,24,4.9,7.1000000000000005,7.56
0,27,5.5,7.1000000000000005,7.98
0,30,6.1000000000000005,7.1000000000000005,8.4
0,33,6.7,7.1000000000000005,8.819999999999999
0,36,7.300000000000001,7.1000000000000005,9.24
0,39,7.9,7.1000000000000005,9.66
1,0,0.1,9.1,6.0
1,3,0.7000000000000001,9.1,5.58
1,6,1.3,9.1,5.16
1,9,1.9000000000000001,9.1,4.74
1,12,2.5,9.1,4.32
1,15,3.1,9.1,3.9000000000000004
1,18,3.7,9.1,3.48
1,21,4.3,9.1,3.0600000000000005
1,24,4.9,9.1,2.6400000000000006
1,27,5.5,9.1,2.22
1,30,6.1000000000000005,9.1,1.8
1,33,6.7,9.1,1.3800000000000006
1,36,7.300000000000001,9.1,0.9600000000000002
1,39,7.9,9.1,0.5400000000000006
