obs_id,param,value
0,x0,35.0
0,y0,34.5
0,vx,0.0
0,vy,0.7
1,x0,45.0
1,y0,15.5
1,vx,0.0
1,vy,-0.7

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,7.1000000000000005,7.0
0,3,0.7000000000000001,7.1000000000000005,7.420000000000001
0,6,1.3,7.1000000000000005,7.840000000000001
0,9,1.9000000000000001,7.1000000000000005,8.26
0,12,2.5,7.1000000000000005,8.68
0,15,3.1,7.1000000000000005,9.1
0,18,3.7,7.1000000000000005,9.520000000000001
0,21,4.3,7.1000000000000005,9.940000000000001
0,24,4.9,7.1000000000000005,10.36
0,27,5.5,7.1000000000000005,10.780000000000001
0,30,6.1000000000000005,7.1000000000000005,11.200000000000001
0,33,6.7,7.1000000000000005,11.62
0,36,7.300000000000001,7.1000000000000005,12.040000000000001
0,39,7.9,7.1000000000000005,12.46
1,0,0.1,9.1,3.2
1,3,0.7000000000000001,9.1,2.7800000000000002
1,6,1.3,9.1,2.3600000000000003
1,9,1.9000000000000001,9.1,1.94
1,12,2.5,9.1,1.5200000000000005
1,15,3.1,9.1,1.1
1,18,3.7,9.1,0.6800000000000002
1,21,4.3,9.1,0.2600000000000002
1,24,4.9,9.1,-0.15999999999999945
1,27,5.5,9.1,-0.5799999999999997
1,30,6.1000000000000005,9.1,-1.0
1,33,6.7,9.1,-1.4199999999999997
1,36,7.300000000000001,9.1,-1.8399999999999999
1,39,7.9,9.1,-2.2599999999999993
