obs_id,param,value
0,x0,9.0
0,y0,20.0
0,vx,0.8
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,1.9000000000000001,4.1000000000000005
0,3,0.7000000000000001,2.3800000000000003,4.1000000000000005
0,6,1.3,2.8600000000000003,4.1000000000000005
0,9,1.9000000000000001,3.34,4.1000000000000005
0,12,2.5,3.8200000000000003,4.1000000000000005
0,15,3.1,4.3,4.1000000000000005
0,18,3.7,4.78,4.1000000000000005
0,21,4.3,5.260000000000001,4.1000000000000005
0,24,4.9,5.740000000000001,4.1000000000000005
0,27,5.5,6.220000000000001,4.1000000000000005
0,30,6.1000000000000005,6.7,4.1000000000000005
0,33,6.7,7.1800000000000015,4.1000000000000005
0,36,7.300000000000001,7.66,4.1000000000000005
0,39,7.9,8.14,4.1000000000000005
