obs_id,param,value
0,x0,25.0
0,y0,20.0
0,vx,0.8
0,vy,0.0

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,5.1000000000000005,4.1000000000000005
0,3,0.7000000000000001,5.58,4.1000000000000005
0,6,1.3,6.0600000000000005,4.1000000000000005
0,9,1.9000000000000001,6.540000000000001,4.1000000000000005
0,12,2.5,7.0200000000000005,4.1000000000000005
0,15,3.1,7.5,4.1000000000000005
0,18,3.7,7.98,4.1000000000000005
0,21,4.3,8.459999999999999,4.1000000000000005
0,24,4.9,8.940000000000001,4.1000000000000005
0,27,5.5,9.42,4.1000000000000005
0,30,6.1000000000000005,9.9,4.1000000000000005
0,33,6.7,10.380000000000003,4.1000000000000005
0,36,7.300000000000001,10.86,4.1000000000000005
0,39,7.9,11.340000000000002,4.1000000000000005
