iter,scenario,raster_ms,plan_ms,cycle_ms,W,H,T,RES_M,TIME_RES,num_obs,avg_obs_speed,path_nodes,path_time_s,path_len_m,rotations_used,wait_steps,expansions,openset_peak,hit_max_expansions,yaw_bins,max_step_cells,edge_samples,r_abs,r_high,r_low,grow,k_rel,v_max,max_rot_vel,success
3,parallel,2.739,22142.894,22145.647,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,28765,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
4,parallel,2.787,22135.015,22137.829,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,29201,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
5,parallel,2.767,22113.184,22115.964,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,29435,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
6,parallel,2.936,22232.383,22235.336,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,29688,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
7,parallel,2.861,22121.252,22124.143,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,30103,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
8,parallel,2.815,22160.814,22163.643,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,30686,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
9,parallel,2.782,22141.698,22144.492,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,31164,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
10,parallel,2.818,22167.588,22170.421,80,50,40,0.2,0.2,1,0.800,40,7.800,7.600,0,1,200001,31685,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
11,parallel,3.154,22118.003,22121.171,80,50,40,0.2,0.2,1,0.800,40,7.800,7.400,2,2,200001,32348,1,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
12,parallel,2.831,11644.148,11646.992,80,50,40,0.2,0.2,1,0.800,40,7.800,7.000,4,4,103197,25215,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
13,parallel,2.663,4822.590,4825.268,80,50,40,0.2,0.2,1,0.800,39,7.600,6.200,6,7,42511,16037,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
14,parallel,2.587,2121.771,2124.384,80,50,40,0.2,0.2,1,0.800,39,7.600,5.400,5,11,18672,9922,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
15,parallel,2.499,1917.164,1919.678,80,50,40,0.2,0.2,1,0.800,33,6.400,4.600,6,9,17083,9483,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
16,parallel,2.340,2134.371,2136.726,80,50,40,0.2,0.2,1,0.800,27,5.200,3.800,6,7,18555,9998,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
17,parallel,2.342,1963.397,1965.767,80,50,40,0.2,0.2,1,0.800,22,4.200,3.000,6,6,17620,9521,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
18,parallel,2.203,1608.985,1611.203,80,50,40,0.2,0.2,1,0.800,18,3.400,2.200,6,6,14429,8039,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
19,parallel,2.125,1015.647,1017.785,80,50,40,0.2,0.2,1,0.800,14,2.600,1.400,6,6,9207,5767,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
20,parallel,2.102,448.258,450.375,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
21,parallel,2.037,441.872,443.923,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
22,parallel,2.021,469.299,471.334,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
23,parallel,2.048,475.263,477.326,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
24,parallel,2.363,477.718,480.098,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
25,parallel,2.364,450.933,453.313,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
26,parallel,2.084,449.397,451.495,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
27,parallel,2.057,447.595,449.667,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
28,parallel,2.149,485.648,487.813,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
29,parallel,2.040,449.250,451.307,80,50,40,0.2,0.2,1,0.800,10,1.800,0.600,6,6,3965,3076,0,24,12,6,2.0,5.0,10.0,0.15,0.5,1.2,2.0,0
