obs_id,param,value
0,x0,53.0
0,y0,68.0
0,vx,0.8
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,10.700000000000001,13.700000000000001
0,3,0.7000000000000001,11.18,14.180000000000001
0,6,1.3,11.66,14.66
0,9,1.9000000000000001,12.14,15.14
0,12,2.5,12.620000000000001,15.62
0,15,3.1,13.100000000000001,16.1
0,18,3.7,13.580000000000002,16.580000000000002
0,21,4.3,14.06,17.06
0,24,4.9,14.540000000000001,17.540000000000003
0,27,5.5,15.02,18.02
0,30,6.1000000000000005,15.5,18.5
0,33,6.7,15.980000000000002,18.98
0,36,7.300000000000001,16.46,19.46
0,39,7.9,16.94,19.94
