obs_id,param,value
0,x0,13.0
0,y0,28.0
0,vx,0.8
0,vy,0.8

obs_id,z_idx,time_s,x_m,y_m
0,0,0.1,2.7,5.7
0,3,0.7000000000000001,3.18,6.18
0,6,1.3,3.66,6.66
0,9,1.9000000000000001,4.14,7.140000000000001
0,12,2.5,4.62,7.620000000000001
0,15,3.1,5.1000000000000005,8.1
0,18,3.7,5.58,8.58
0,21,4.3,6.0600000000000005,9.06
0,24,4.9,6.540000000000001,9.540000000000001
0,27,5.5,7.0200000000000005,10.020000000000001
0,30,6.1000000000000005,7.5,10.5
0,33,6.7,7.980000000000001,10.980000000000002
0,36,7.300000000000001,8.459999999999999,11.46
0,39,7.9,8.940000000000001,11.940000000000001
