z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,1.1,5.1000000000000005,0
1,0.30000000000000004,1.1,5.1000000000000005,0
2,0.5,1.1,5.1000000000000005,0
3,0.7000000000000001,1.1,5.1000000000000005,0
4,0.9,1.1,5.1000000000000005,0
5,1.1,1.1,5.1000000000000005,0
6,1.3,1.1,5.1000000000000005,23
7,1.5,1.1,4.9,23
8,1.7000000000000002,1.1,4.9,0
9,1.9000000000000001,1.3,4.9,0
10,2.1,1.5,4.9,0
11,2.3000000000000003,1.7000000000000002,4.9,0
12,2.5,1.9000000000000001,4.9,0
13,2.7,2.1,4.9,0
14,2.9000000000000004,2.3000000000000003,4.9,0
15,3.1,2.5,4.9,0
16,3.3000000000000003,2.7,4.9,0
17,3.5,2.9000000000000004,4.9,0
18,3.7,3.1,4.9,0
19,3.9000000000000004,3.3000000000000003,4.9,0
20,4.1000000000000005,3.5,4.9,0
21,4.3,3.7,4.9,0
22,4.5,3.9000000000000004,4.9,0
23,4.7,4.1000000000000005,4.9,0
24,4.9,4.3,4.9,0
25,5.1000000000000005,4.5,4.9,0
26,5.300000000000001,4.7,4.9,0
27,5.5,4.9,4.9,0
28,5.7,5.1000000000000005,4.9,0
29,5.9,5.300000000000001,4.9,0
30,6.1000000000000005,5.5,4.9,0
31,6.300000000000001,5.7,4.9,0
32,6.5,5.9,4.9,0
33,6.7,6.1000000000000005,4.9,0
34,6.9,6.300000000000001,4.9,0
35,7.1000000000000005,6.5,4.9,0
36,7.300000000000001,6.7,4.9,0
37,7.5,6.9,4.9,0
38,7.7,7.1000000000000005,4.9,0
39,7.9,7.300000000000001,4.9,0
