z_idx,time_s,x_m,y_m,yaw_bin
0,0.1,2.9000000000000004,5.1000000000000005,0
1,0.30000000000000004,3.1,5.1000000000000005,0
2,0.5,3.3000000000000003,5.1000000000000005,0
3,0.7000000000000001,3.5,5.1000000000000005,0
4,0.9,3.7,5.1000000000000005,0
5,1.1,3.9000000000000004,5.1000000000000005,0
6,1.3,4.1000000000000005,5.1000000000000005,0
7,1.5,4.3,5.1000000000000005,0
8,1.7000000000000002,4.5,5.1000000000000005,0
9,1.9000000000000001,4.7,5.1000000000000005,0
10,2.1,4.9,5.1000000000000005,0
11,2.3000000000000003,5.1000000000000005,5.1000000000000005,0
12,2.5,5.300000000000001,5.1000000000000005,0
13,2.7,5.5,5.1000000000000005,0
14,2.9000000000000004,5.7,5.1000000000000005,0
15,3.1,5.9,5.1000000000000005,0
16,3.3000000000000003,6.1000000000000005,5.1000000000000005,0
17,3.5,6.300000000000001,5.1000000000000005,0
18,3.7,6.5,5.1000000000000005,0
19,3.9000000000000004,6.7,5.1000000000000005,0
20,4.1000000000000005,6.9,5.1000000000000005,0
21,4.3,7.1000000000000005,5.1000000000000005,0
22,4.5,7.300000000000001,5.1000000000000005,0
23,4.7,7.5,5.1000000000000005,0
24,4.9,7.7,5.1000000000000005,0
25,5.1000000000000005,7.9,5.1000000000000005,0
26,5.300000000000001,8.1,5.1000000000000005,0
27,5.5,8.3,5.1000000000000005,0
28,5.7,8.5,5.1000000000000005,0
29,5.9,8.700000000000001,5.1000000000000005,0
30,6.1000000000000005,8.9,5.1000000000000005,0
31,6.300000000000001,9.1,5.1000000000000005,0
32,6.5,9.3,5.1000000000000005,0
33,6.7,9.5,5.1000000000000005,0
34,6.9,9.700000000000001,5.1000000000000005,0
35,7.1000000000000005,9.9,5.1000000000000005,0
36,7.300000000000001,10.100000000000001,5.1000000000000005,0
37,7.5,10.3,5.1000000000000005,0
38,7.7,10.5,5.1000000000000005,0
39,7.9,10.700000000000001,5.1000000000000005,0
